missDate,classified,cloud,openWater,lightNSSed,OSSed,dNSSed,area_ha
LANDSAT_7_2000-07-11,77309.54637354844,30973.759225574133,26402.050473254018,619.3598090931592,18978.290083582717,336.0867820420447,77102.78693711074
LANDSAT_7_2000-07-27,77309.54637354844,77309.54637354844,0.0,0.0,0.0,0.0,77102.78693711074
LANDSAT_7_2000-08-12,76118.2262371777,76086.84004040393,0.0,3.1871758374023433,27.910914464721603,0.2881064715576172,77102.78693711074
LANDSAT_7_2000-08-28,77309.54637354845,60629.58689594499,10116.503774609671,359.78405888229764,5715.805350950516,487.86629315656717,77102.78693711074
LANDSAT_7_2000-09-13,77309.54637354844,77245.88260722283,0.046046520062614886,21.201209481658328,29.070490058505214,13.346020265368892,77102.78693711074
LANDSAT_7_2000-09-29,77309.54637354845,62541.96195733348,531.9336427031764,869.6942903210552,13313.244885395621,52.71159779203289,77102.78693711074
LANDSAT_7_2000-10-31,77309.54637354845,57093.38744361956,8886.949423874448,339.9275283029643,10856.93008641794,132.35189133097572,77102.78693711074
LANDSAT_7_2000-11-16,77309.54637354845,51440.14267787744,19054.439616481242,64.65369446191407,6704.409784728328,45.90059999608658,77102.78693711074
LANDSAT_7_2000-12-02,77309.54637354844,36509.18534731025,8593.091770226873,636.3605613162633,31275.468903946843,295.4397907468263,77102.78693711074
LANDSAT_7_2001-01-03,75541.98970062824,75138.56335849666,4.833913571777346,5.114398230155193,387.4275325373643,6.050497792145372,77102.78693711074
LANDSAT_7_2001-01-19,77309.54637354844,68364.9325332068,4618.454242227754,1.9228842116555604,4321.150223665754,3.0864902346741925,77102.78693711074
LANDSAT_7_2001-02-20,77309.54637354844,41361.18258277859,23076.48506871988,10.487980981811525,12852.678840176137,8.711900890347348,77102.78693711074
LANDSAT_7_2001-03-08,75656.62480685138,71209.69563434449,1088.431662577881,5.0979252785094005,3343.0910998385557,10.308484811631148,77102.78693711074
LANDSAT_7_2001-03-24,77309.54637354844,51011.181577330295,13585.92407187014,4.278601161877202,12696.407381240153,11.754741944575292,77102.78693711074
LANDSAT_7_2001-04-25,77309.54637354847,3214.5290613552447,51235.741647863535,4724.654768412935,16921.189367310908,1213.4315286064025,77102.78693711074
LANDSAT_7_2001-05-11,77309.54637354845,77308.32370379692,0.0,0.0,1.2136732940123318,0.00899645751953125,77102.78693711074
LANDSAT_7_2001-05-27,77309.54637354845,43509.22669782591,19089.62527863733,872.1449101481121,13721.352872510832,117.19661442349778,77102.78693711074
