missDate,classified,cloud,openWater,lightNSSed,OSSed,dNSSed,other,area_ha
Sentinel-2A_2021-10-23,69728.66471654903,50670.63450603922,18723.420943058827,0.0,0.0,0.0,334.60926745098044,77102.78693711074
Sentinel-2B_2021-10-25,24091.86725647059,0.0,0.0,0.0,0.0,0.0,24091.86725647059,77102.78693711074
Sentinel-2A_2021-10-26,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2021-10-28,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2021-10-30,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2021-10-31,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2021-11-02,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2021-11-04,24091.86725647059,0.0,0.0,0.0,0.0,0.0,24091.86725647059,77102.78693711074
Sentinel-2A_2021-11-05,10517.522411921569,334.60926745098044,0.0,0.0,0.0,0.0,10182.913144470589,77102.78693711074
Sentinel-2B_2021-11-07,69728.66471654903,45636.79746007844,0.0,0.0,0.0,0.0,24091.86725647059,77102.78693711074
Sentinel-2A_2021-11-09,24091.86725647059,0.0,0.0,0.0,0.0,0.0,24091.86725647059,77102.78693711074
Sentinel-2B_2021-11-10,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2021-11-12,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2021-11-14,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2021-11-15,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2021-11-17,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2021-11-19,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2021-11-20,10517.522411921569,0.0,0.0,0.0,0.0,334.60926745098044,10182.913144470589,77102.78693711074
Sentinel-2A_2021-11-22,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2021-11-24,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2021-11-25,10517.522411921569,0.0,0.0,0.0,0.0,334.60926745098044,10182.913144470589,77102.78693711074
Sentinel-2B_2021-11-27,69728.66471654903,69394.05544909804,0.0,0.0,0.0,0.0,334.60926745098044,77102.78693711074
Sentinel-2A_2021-11-29,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2021-11-30,10517.522411921569,334.60926745098044,0.0,0.0,0.0,0.0,10182.913144470589,77102.78693711074
Sentinel-2A_2021-12-02,69728.66471654903,69394.05544909804,0.0,0.0,0.0,334.60926745098044,0.0,77102.78693711074
Sentinel-2B_2021-12-04,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2021-12-05,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2021-12-07,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2021-12-09,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2021-12-10,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2021-12-12,69728.66471654903,24091.86725647059,18723.420943058827,0.0,0.0,0.0,26913.376517019613,77102.78693711074
Sentinel-2B_2021-12-14,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2021-12-15,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2021-12-17,69728.66471654903,51005.243773490205,18723.420943058827,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2021-12-19,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2021-12-20,10517.522411921569,334.60926745098044,0.0,0.0,0.0,0.0,10182.913144470589,77102.78693711074
Sentinel-2A_2021-12-22,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2021-12-24,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2021-12-25,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2021-12-27,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2021-12-29,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2021-12-30,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-01-01,69728.66471654903,43149.8974669804,0.0,0.0,0.0,0.0,26578.76724956863,77102.78693711074
Sentinel-2B_2022-01-03,24091.86725647059,0.0,0.0,0.0,0.0,0.0,24091.86725647059,77102.78693711074
Sentinel-2A_2022-01-04,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-01-06,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-01-08,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-01-09,10517.522411921569,334.60926745098044,0.0,0.0,0.0,0.0,10182.913144470589,77102.78693711074
