SPACECRAFT_ID,DATE_ACQUIRED,WRS_PATH,WRS_ROW
LANDSAT_5,1996-07-24,26.0,27.0
LANDSAT_5,1996-08-09,26.0,27.0
LANDSAT_5,1996-08-25,26.0,27.0
LANDSAT_5,1996-09-10,26.0,27.0
LANDSAT_5,1996-10-12,26.0,27.0
LANDSAT_5,1996-10-28,26.0,27.0
LANDSAT_5,1996-11-13,26.0,27.0
LANDSAT_5,1996-11-29,26.0,27.0
LANDSAT_5,1997-01-16,26.0,27.0
LANDSAT_5,1997-03-05,26.0,27.0
LANDSAT_5,1997-04-22,26.0,27.0
LANDSAT_5,1997-06-09,26.0,27.0
LANDSAT_5,1997-06-25,26.0,27.0
LANDSAT_5,1997-07-11,26.0,27.0
LANDSAT_5,1997-07-27,26.0,27.0
LANDSAT_5,1997-08-12,26.0,27.0
LANDSAT_5,1997-08-28,26.0,27.0
LANDSAT_5,1997-09-13,26.0,27.0
LANDSAT_5,1997-11-16,26.0,27.0
LANDSAT_5,1997-12-18,26.0,27.0
LANDSAT_5,1998-01-03,26.0,27.0
LANDSAT_5,1998-01-19,26.0,27.0
LANDSAT_5,1998-02-04,26.0,27.0
LANDSAT_5,1998-03-08,26.0,27.0
LANDSAT_5,1998-03-24,26.0,27.0
LANDSAT_5,1998-04-09,26.0,27.0
LANDSAT_5,1998-04-25,26.0,27.0
LANDSAT_5,1998-05-11,26.0,27.0
LANDSAT_5,1998-05-27,26.0,27.0
LANDSAT_5,1998-06-28,26.0,27.0
LANDSAT_5,1998-07-14,26.0,27.0
LANDSAT_5,1998-07-30,26.0,27.0
LANDSAT_5,1998-08-15,26.0,27.0
LANDSAT_5,1998-08-31,26.0,27.0
LANDSAT_5,1998-09-16,26.0,27.0
LANDSAT_5,1998-10-02,26.0,27.0
LANDSAT_5,1998-11-03,26.0,27.0
LANDSAT_5,1998-12-21,26.0,27.0
LANDSAT_5,1999-01-06,26.0,27.0
LANDSAT_5,1999-02-07,26.0,27.0
LANDSAT_5,1999-02-23,26.0,27.0
LANDSAT_5,1999-03-11,26.0,27.0
LANDSAT_5,1999-03-27,26.0,27.0
LANDSAT_5,1999-04-12,26.0,27.0
LANDSAT_5,1999-04-28,26.0,27.0
LANDSAT_5,1999-05-14,26.0,27.0
LANDSAT_5,1999-05-30,26.0,27.0
LANDSAT_5,1999-06-15,26.0,27.0
LANDSAT_5,1999-07-01,26.0,27.0
LANDSAT_5,1999-07-17,26.0,27.0
LANDSAT_5,1999-08-02,26.0,27.0
LANDSAT_5,1999-09-03,26.0,27.0
LANDSAT_5,1999-10-05,26.0,27.0
LANDSAT_5,1999-10-21,26.0,27.0
LANDSAT_5,1999-11-06,26.0,27.0
LANDSAT_5,1999-12-08,26.0,27.0
LANDSAT_5,1999-12-24,26.0,27.0
LANDSAT_5,2000-01-09,26.0,27.0
LANDSAT_5,2000-01-25,26.0,27.0
LANDSAT_5,2000-03-13,26.0,27.0
LANDSAT_5,2000-04-30,26.0,27.0
LANDSAT_5,2000-05-16,26.0,27.0
LANDSAT_5,2000-06-17,26.0,27.0
LANDSAT_5,2000-07-03,26.0,27.0
LANDSAT_5,2000-07-19,26.0,27.0
LANDSAT_5,2000-08-04,26.0,27.0
LANDSAT_5,2000-08-20,26.0,27.0
LANDSAT_5,2000-09-05,26.0,27.0
LANDSAT_5,2000-10-07,26.0,27.0
LANDSAT_5,2000-10-23,26.0,27.0
LANDSAT_5,2000-11-24,26.0,27.0
LANDSAT_5,2000-12-10,26.0,27.0
LANDSAT_5,2000-12-26,26.0,27.0
LANDSAT_5,2001-01-11,26.0,27.0
LANDSAT_5,2001-02-28,26.0,27.0
LANDSAT_5,2001-03-16,26.0,27.0
LANDSAT_5,2001-04-17,26.0,27.0
LANDSAT_5,2001-05-03,26.0,27.0
LANDSAT_5,2001-05-19,26.0,27.0
LANDSAT_5,2001-06-04,26.0,27.0
LANDSAT_5,2001-06-20,26.0,27.0
LANDSAT_5,2001-08-07,26.0,27.0
LANDSAT_5,2001-08-23,26.0,27.0
LANDSAT_5,2001-09-24,26.0,27.0
LANDSAT_5,2001-10-26,26.0,27.0
LANDSAT_5,2001-11-11,26.0,27.0
LANDSAT_5,2001-12-29,26.0,27.0
LANDSAT_5,2002-03-03,26.0,27.0
LANDSAT_5,2002-05-22,26.0,27.0
LANDSAT_5,2002-06-07,26.0,27.0
LANDSAT_5,2002-06-23,26.0,27.0
LANDSAT_5,2002-07-09,26.0,27.0
LANDSAT_5,2002-08-10,26.0,27.0
LANDSAT_5,2002-08-26,26.0,27.0
LANDSAT_5,2002-09-11,26.0,27.0
LANDSAT_5,2002-09-27,26.0,27.0
LANDSAT_5,2002-10-13,26.0,27.0
LANDSAT_5,2002-11-14,26.0,27.0
LANDSAT_5,2002-11-30,26.0,27.0
LANDSAT_5,2003-01-01,26.0,27.0
LANDSAT_5,2003-01-17,26.0,27.0
LANDSAT_5,2003-03-06,26.0,27.0
LANDSAT_5,2003-04-07,26.0,27.0
LANDSAT_5,2003-04-23,26.0,27.0
LANDSAT_5,2003-05-09,26.0,27.0
LANDSAT_5,2003-05-25,26.0,27.0
LANDSAT_5,2003-07-12,26.0,27.0
LANDSAT_5,2003-07-28,26.0,27.0
LANDSAT_5,2003-08-13,26.0,27.0
LANDSAT_5,2003-08-29,26.0,27.0
LANDSAT_5,2003-09-30,26.0,27.0
LANDSAT_5,2003-10-16,26.0,27.0
LANDSAT_5,2003-11-01,26.0,27.0
LANDSAT_5,2003-12-03,26.0,27.0
LANDSAT_5,2003-12-19,26.0,27.0
LANDSAT_5,2004-02-21,26.0,27.0
LANDSAT_5,2004-03-08,26.0,27.0
LANDSAT_5,2004-04-09,26.0,27.0
LANDSAT_5,2004-05-11,26.0,27.0
LANDSAT_5,2004-06-12,26.0,27.0
LANDSAT_5,2004-06-28,26.0,27.0
LANDSAT_5,2004-07-14,26.0,27.0
LANDSAT_5,2004-08-15,26.0,27.0
LANDSAT_5,2004-09-16,26.0,27.0
LANDSAT_5,2004-10-02,26.0,27.0
LANDSAT_5,2004-10-18,26.0,27.0
LANDSAT_5,2004-11-03,26.0,27.0
LANDSAT_5,2004-11-19,26.0,27.0
LANDSAT_5,2004-12-05,26.0,27.0
LANDSAT_5,2005-01-06,26.0,27.0
LANDSAT_5,2005-01-22,26.0,27.0
LANDSAT_5,2005-02-23,26.0,27.0
LANDSAT_5,2005-03-11,26.0,27.0
LANDSAT_5,2005-03-27,26.0,27.0
LANDSAT_5,2005-04-12,26.0,27.0
LANDSAT_5,2005-04-28,26.0,27.0
LANDSAT_5,2005-05-30,26.0,27.0
LANDSAT_5,2005-06-15,26.0,27.0
LANDSAT_5,2005-07-01,26.0,27.0
LANDSAT_5,2005-07-17,26.0,27.0
LANDSAT_5,2005-08-02,26.0,27.0
LANDSAT_5,2005-08-18,26.0,27.0
LANDSAT_5,2005-09-03,26.0,27.0
LANDSAT_5,2005-11-06,26.0,27.0
LANDSAT_5,2005-11-22,26.0,27.0
LANDSAT_5,2006-01-25,26.0,27.0
LANDSAT_5,2006-02-10,26.0,27.0
LANDSAT_5,2006-02-26,26.0,27.0
LANDSAT_5,2006-03-14,26.0,27.0
LANDSAT_5,2006-04-15,26.0,27.0
LANDSAT_5,2006-05-17,26.0,27.0
LANDSAT_5,2006-06-02,26.0,27.0
LANDSAT_5,2006-06-18,26.0,27.0
LANDSAT_5,2006-07-04,26.0,27.0
LANDSAT_5,2006-08-05,26.0,27.0
LANDSAT_5,2006-08-21,26.0,27.0
LANDSAT_5,2006-09-06,26.0,27.0
LANDSAT_5,2006-10-24,26.0,27.0
LANDSAT_5,2006-11-25,26.0,27.0
LANDSAT_5,2006-12-11,26.0,27.0
LANDSAT_5,2006-12-27,26.0,27.0
LANDSAT_5,2007-01-28,26.0,27.0
LANDSAT_5,2007-02-13,26.0,27.0
LANDSAT_5,2007-03-17,26.0,27.0
LANDSAT_5,2007-04-02,26.0,27.0
LANDSAT_5,2007-04-18,26.0,27.0
LANDSAT_5,2007-05-04,26.0,27.0
LANDSAT_5,2007-05-20,26.0,27.0
LANDSAT_5,2007-06-21,26.0,27.0
LANDSAT_5,2007-07-07,26.0,27.0
LANDSAT_5,2007-07-23,26.0,27.0
LANDSAT_5,2007-08-08,26.0,27.0
LANDSAT_5,2007-08-24,26.0,27.0
LANDSAT_5,2007-09-09,26.0,27.0
LANDSAT_5,2008-03-03,26.0,27.0
LANDSAT_5,2008-03-19,26.0,27.0
LANDSAT_5,2008-04-04,26.0,27.0
LANDSAT_5,2008-05-06,26.0,27.0
LANDSAT_5,2008-05-22,26.0,27.0
LANDSAT_5,2008-06-07,26.0,27.0
LANDSAT_5,2008-06-23,26.0,27.0
LANDSAT_5,2008-07-09,26.0,27.0
LANDSAT_5,2008-07-25,26.0,27.0
LANDSAT_5,2008-08-10,26.0,27.0
LANDSAT_5,2008-08-26,26.0,27.0
LANDSAT_5,2008-09-27,26.0,27.0
LANDSAT_5,2008-10-29,26.0,27.0
LANDSAT_5,2009-01-17,26.0,27.0
LANDSAT_5,2009-02-02,26.0,27.0
LANDSAT_5,2009-02-18,26.0,27.0
LANDSAT_5,2009-03-22,26.0,27.0
LANDSAT_5,2009-04-07,26.0,27.0
LANDSAT_5,2009-04-23,26.0,27.0
LANDSAT_5,2009-05-25,26.0,27.0
LANDSAT_5,2009-06-10,26.0,27.0
LANDSAT_5,2009-06-26,26.0,27.0
LANDSAT_5,2009-07-12,26.0,27.0
LANDSAT_5,2009-07-28,26.0,27.0
LANDSAT_5,2009-09-14,26.0,27.0
LANDSAT_5,2009-09-30,26.0,27.0
LANDSAT_5,2009-11-17,26.0,27.0
LANDSAT_5,2009-12-03,26.0,27.0
LANDSAT_5,2010-01-20,26.0,27.0
LANDSAT_5,2010-02-05,26.0,27.0
LANDSAT_5,2010-02-21,26.0,27.0
LANDSAT_5,2010-03-09,26.0,27.0
LANDSAT_5,2010-03-25,26.0,27.0
LANDSAT_5,2010-04-10,26.0,27.0
LANDSAT_5,2010-04-26,26.0,27.0
LANDSAT_5,2010-05-12,26.0,27.0
LANDSAT_5,2010-05-28,26.0,27.0
LANDSAT_5,2010-06-13,26.0,27.0
LANDSAT_5,2010-06-29,26.0,27.0
LANDSAT_5,2010-07-15,26.0,27.0
LANDSAT_5,2010-07-31,26.0,27.0
LANDSAT_5,2010-08-16,26.0,27.0
LANDSAT_5,2010-09-01,26.0,27.0
LANDSAT_5,2010-09-17,26.0,27.0
LANDSAT_5,2010-10-03,26.0,27.0
LANDSAT_5,2010-10-19,26.0,27.0
LANDSAT_5,2010-11-04,26.0,27.0
LANDSAT_5,2010-11-20,26.0,27.0
LANDSAT_5,2010-12-22,26.0,27.0
LANDSAT_5,2011-01-23,26.0,27.0
LANDSAT_5,2011-02-08,26.0,27.0
LANDSAT_5,2011-03-28,26.0,27.0
LANDSAT_5,2011-04-13,26.0,27.0
LANDSAT_5,2011-04-29,26.0,27.0
LANDSAT_5,2011-05-15,26.0,27.0
LANDSAT_5,2011-05-31,26.0,27.0
LANDSAT_5,2011-07-02,26.0,27.0
LANDSAT_5,2011-07-18,26.0,27.0
LANDSAT_5,2011-08-03,26.0,27.0
LANDSAT_5,2011-08-19,26.0,27.0
LANDSAT_5,2011-09-20,26.0,27.0
LANDSAT_5,2011-10-06,26.0,27.0
LANDSAT_5,2011-10-22,26.0,27.0
LANDSAT_5,2011-11-07,26.0,27.0
LANDSAT_5,1984-04-18,26.0,28.0
LANDSAT_5,1984-05-04,26.0,28.0
LANDSAT_5,1984-05-20,26.0,28.0
LANDSAT_5,1984-06-21,26.0,28.0
LANDSAT_5,1984-07-07,26.0,28.0
LANDSAT_5,1984-08-08,26.0,28.0
LANDSAT_5,1984-11-12,26.0,28.0
LANDSAT_5,1984-12-30,26.0,28.0
LANDSAT_5,1985-01-31,26.0,28.0
LANDSAT_5,1985-04-21,26.0,28.0
LANDSAT_5,1985-08-11,26.0,28.0
LANDSAT_5,1985-08-27,26.0,28.0
LANDSAT_5,1985-09-12,26.0,28.0
LANDSAT_5,1985-10-14,26.0,28.0
LANDSAT_5,1985-10-30,26.0,28.0
LANDSAT_5,1985-11-15,26.0,28.0
LANDSAT_5,1986-03-07,26.0,28.0
LANDSAT_5,1986-03-23,26.0,28.0
LANDSAT_5,1986-04-24,26.0,28.0
LANDSAT_5,1986-05-10,26.0,28.0
LANDSAT_5,1986-05-26,26.0,28.0
LANDSAT_5,1986-06-27,26.0,28.0
LANDSAT_5,1986-07-29,26.0,28.0
LANDSAT_5,1986-08-30,26.0,28.0
LANDSAT_5,1986-09-15,26.0,28.0
LANDSAT_5,1986-10-01,26.0,28.0
LANDSAT_5,1986-11-02,26.0,28.0
LANDSAT_5,1986-11-18,26.0,28.0
LANDSAT_5,1986-12-04,26.0,28.0
LANDSAT_5,1986-12-20,26.0,28.0
LANDSAT_5,1987-03-10,26.0,28.0
LANDSAT_5,1987-04-11,26.0,28.0
LANDSAT_5,1987-04-27,26.0,28.0
LANDSAT_5,1987-05-13,26.0,28.0
LANDSAT_5,1987-06-14,26.0,28.0
LANDSAT_5,1987-06-30,26.0,28.0
LANDSAT_5,1987-07-16,26.0,28.0
LANDSAT_5,1987-08-01,26.0,28.0
LANDSAT_5,1987-08-17,26.0,28.0
LANDSAT_5,1987-09-02,26.0,28.0
LANDSAT_5,1987-11-05,26.0,28.0
LANDSAT_5,1987-11-21,26.0,28.0
LANDSAT_5,1988-01-08,26.0,28.0
LANDSAT_5,1988-01-24,26.0,28.0
LANDSAT_5,1988-02-25,26.0,28.0
LANDSAT_5,1988-04-13,26.0,28.0
LANDSAT_5,1988-04-29,26.0,28.0
LANDSAT_5,1988-05-31,26.0,28.0
LANDSAT_5,1988-06-16,26.0,28.0
LANDSAT_5,1988-07-02,26.0,28.0
LANDSAT_5,1988-07-18,26.0,28.0
LANDSAT_5,1988-08-03,26.0,28.0
LANDSAT_5,1988-08-19,26.0,28.0
LANDSAT_5,1988-09-04,26.0,28.0
LANDSAT_5,1988-10-06,26.0,28.0
LANDSAT_5,1988-10-22,26.0,28.0
LANDSAT_5,1988-11-23,26.0,28.0
LANDSAT_5,1988-12-09,26.0,28.0
LANDSAT_5,1988-12-25,26.0,28.0
LANDSAT_5,1989-01-10,26.0,28.0
LANDSAT_5,1989-01-26,26.0,28.0
LANDSAT_5,1989-02-11,26.0,28.0
LANDSAT_5,1989-02-27,26.0,28.0
LANDSAT_5,1989-03-15,26.0,28.0
LANDSAT_5,1989-04-16,26.0,28.0
LANDSAT_5,1989-05-02,26.0,28.0
LANDSAT_5,1989-06-03,26.0,28.0
LANDSAT_5,1989-06-19,26.0,28.0
LANDSAT_5,1989-07-05,26.0,28.0
LANDSAT_5,1989-07-21,26.0,28.0
LANDSAT_5,1989-08-06,26.0,28.0
LANDSAT_5,1989-08-22,26.0,28.0
LANDSAT_5,1989-09-23,26.0,28.0
LANDSAT_5,1989-10-09,26.0,28.0
LANDSAT_5,1989-10-25,26.0,28.0
LANDSAT_5,1989-12-12,26.0,28.0
LANDSAT_5,1990-01-13,26.0,28.0
LANDSAT_5,1990-05-05,26.0,28.0
LANDSAT_5,1990-06-06,26.0,28.0
LANDSAT_5,1990-06-22,26.0,28.0
LANDSAT_5,1990-07-08,26.0,28.0
LANDSAT_5,1990-07-24,26.0,28.0
LANDSAT_5,1990-08-09,26.0,28.0
LANDSAT_5,1990-08-25,26.0,28.0
LANDSAT_5,1990-09-10,26.0,28.0
LANDSAT_5,1990-09-26,26.0,28.0
LANDSAT_5,1990-10-12,26.0,28.0
LANDSAT_5,1990-10-28,26.0,28.0
LANDSAT_5,1990-11-13,26.0,28.0
LANDSAT_5,1990-12-31,26.0,28.0
LANDSAT_5,1991-02-01,26.0,28.0
LANDSAT_5,1991-04-06,26.0,28.0
LANDSAT_5,1991-04-22,26.0,28.0
LANDSAT_5,1991-05-08,26.0,28.0
LANDSAT_5,1991-06-09,26.0,28.0
LANDSAT_5,1991-06-25,26.0,28.0
LANDSAT_5,1991-07-11,26.0,28.0
LANDSAT_5,1991-07-27,26.0,28.0
LANDSAT_5,1991-08-12,26.0,28.0
LANDSAT_5,1991-08-28,26.0,28.0
LANDSAT_5,1991-09-29,26.0,28.0
LANDSAT_5,1991-10-15,26.0,28.0
LANDSAT_5,1991-12-02,26.0,28.0
LANDSAT_5,1991-12-18,26.0,28.0
LANDSAT_5,1992-03-23,26.0,28.0
LANDSAT_5,1992-04-08,26.0,28.0
LANDSAT_5,1992-05-10,26.0,28.0
LANDSAT_5,1992-05-26,26.0,28.0
LANDSAT_5,1992-06-11,26.0,28.0
LANDSAT_5,1992-06-27,26.0,28.0
LANDSAT_5,1992-07-13,26.0,28.0
LANDSAT_5,1992-07-29,26.0,28.0
LANDSAT_5,1992-08-14,26.0,28.0
LANDSAT_5,1992-08-30,26.0,28.0
LANDSAT_5,1992-09-15,26.0,28.0
LANDSAT_5,1992-10-01,26.0,28.0
LANDSAT_5,1992-10-17,26.0,28.0
LANDSAT_5,1992-12-04,26.0,28.0
LANDSAT_5,1992-12-20,26.0,28.0
LANDSAT_5,1993-01-05,26.0,28.0
LANDSAT_5,1993-02-22,26.0,28.0
LANDSAT_5,1993-03-26,26.0,28.0
LANDSAT_5,1993-05-13,26.0,28.0
LANDSAT_5,1993-05-29,26.0,28.0
LANDSAT_5,1993-06-14,26.0,28.0
LANDSAT_5,1993-06-30,26.0,28.0
LANDSAT_5,1993-07-16,26.0,28.0
LANDSAT_5,1993-08-01,26.0,28.0
LANDSAT_5,1993-08-17,26.0,28.0
LANDSAT_5,1993-09-18,26.0,28.0
LANDSAT_5,1993-10-04,26.0,28.0
LANDSAT_5,1993-10-20,26.0,28.0
LANDSAT_5,1993-11-21,26.0,28.0
LANDSAT_5,1993-12-23,26.0,28.0
LANDSAT_5,1994-01-08,26.0,28.0
LANDSAT_5,1994-01-24,26.0,28.0
LANDSAT_5,1994-02-09,26.0,28.0
LANDSAT_5,1994-03-13,26.0,28.0
LANDSAT_5,1994-04-30,26.0,28.0
LANDSAT_5,1994-05-16,26.0,28.0
LANDSAT_5,1994-06-01,26.0,28.0
LANDSAT_5,1994-06-17,26.0,28.0
LANDSAT_5,1994-07-03,26.0,28.0
LANDSAT_5,1994-07-19,26.0,28.0
LANDSAT_5,1994-09-21,26.0,28.0
LANDSAT_5,1994-11-08,26.0,28.0
LANDSAT_5,1994-11-24,26.0,28.0
LANDSAT_5,1994-12-10,26.0,28.0
LANDSAT_5,1994-12-26,26.0,28.0
LANDSAT_5,1995-02-12,26.0,28.0
LANDSAT_5,1995-02-28,26.0,28.0
