"mission","date","name","initials","finished?","n_PR","PRs"
"LANDSAT_5",1994-09-21,"","","",2,"2627; 2628"
"LANDSAT_8",2017-06-16,"","","",2,"2627; 2628"
"LANDSAT_7",2016-07-23,"","","",2,"2627; 2628"
"LANDSAT_5",1985-05-07,"","","",1,"2627"
"LANDSAT_7",2009-08-05,"","","",2,"2627; 2628"
"LANDSAT_5",2005-11-22,"","","",2,"2627; 2628"
"LANDSAT_7",2019-10-20,"","","",2,"2627; 2628"
"LANDSAT_7",2003-05-17,"","","",2,"2627; 2628"
"LANDSAT_5",2006-05-17,"","","",2,"2627; 2628"
"LANDSAT_5",1991-06-25,"","","",2,"2627; 2628"
"LANDSAT_8",2013-07-23,"","","",2,"2627; 2628"
"LANDSAT_7",2004-04-01,"","","",2,"2627; 2628"
"LANDSAT_7",2021-10-09,"","","",2,"2627; 2628"
"LANDSAT_5",2010-05-28,"","","",2,"2627; 2628"
"LANDSAT_5",2002-11-30,"","","",2,"2627; 2628"
"LANDSAT_7",2012-05-25,"","","",2,"2627; 2628"
"LANDSAT_5",2007-05-20,"","","",2,"2627; 2628"
"LANDSAT_5",1996-11-29,"","","",2,"2627; 2628"
"LANDSAT_7",2012-05-09,"","","",2,"2627; 2628"
"LANDSAT_5",2010-05-12,"","","",2,"2627; 2628"
"LANDSAT_5",1991-07-11,"","","",2,"2627; 2628"
"LANDSAT_7",2009-04-15,"","","",2,"2627; 2628"
"LANDSAT_5",1994-07-03,"","","",2,"2627; 2628"
"LANDSAT_8",2021-05-10,"","","",2,"2627; 2628"
"LANDSAT_5",2008-07-09,"","","",2,"2627; 2628"
"LANDSAT_5",1993-10-04,"","","",2,"2627; 2628"
"LANDSAT_5",1995-08-23,"","","",2,"2627; 2628"
"LANDSAT_5",1989-09-23,"","","",2,"2627; 2628"
"LANDSAT_8",2018-11-26,"","","",2,"2627; 2628"
"LANDSAT_5",2010-09-01,"","","",2,"2627; 2628"
"LANDSAT_8",2020-05-23,"","","",2,"2627; 2628"
"LANDSAT_5",2002-10-29,"","","",1,"2628"
"LANDSAT_7",2011-08-27,"","","",2,"2627; 2628"
"LANDSAT_5",1986-05-26,"","","",2,"2627; 2628"
"LANDSAT_5",1996-06-22,"","","",2,"2627; 2628"
"LANDSAT_5",2002-11-14,"","","",1,"2627"
"LANDSAT_5",2003-10-16,"","","",2,"2627; 2628"
"LANDSAT_7",2018-07-13,"","","",2,"2627; 2628"
"LANDSAT_5",1999-07-17,"","","",2,"2627; 2628"
"LANDSAT_5",1994-04-30,"","","",2,"2627; 2628"
"LANDSAT_8",2018-05-18,"","","",2,"2627; 2628"
"LANDSAT_7",2007-05-28,"","","",2,"2627; 2628"
"LANDSAT_5",1998-06-28,"","","",2,"2627; 2628"
"LANDSAT_7",2002-10-05,"","","",2,"2627; 2628"
"LANDSAT_5",1989-07-21,"","","",2,"2627; 2628"
"LANDSAT_5",2004-10-02,"","","",2,"2627; 2628"
"LANDSAT_5",1988-10-22,"","","",2,"2627; 2628"
"LANDSAT_7",2008-08-18,"","","",2,"2627; 2628"
"LANDSAT_5",1990-04-19,"","","",1,"2627"
"LANDSAT_8",2016-04-26,"","","",2,"2627; 2628"
"LANDSAT_5",1999-10-21,"","","",2,"2627; 2628"
"LANDSAT_8",2016-10-03,"","","",2,"2627; 2628"
"LANDSAT_7",2015-09-23,"","","",1,"2628"
"LANDSAT_8",2013-05-20,"","","",1,"2628"
"LANDSAT_5",1992-04-08,"","","",2,"2627; 2628"
"LANDSAT_5",2001-05-03,"","","",1,"2627"
"LANDSAT_7",2009-06-02,"","","",2,"2627; 2628"
"LANDSAT_7",1999-08-26,"","","",2,"2627; 2628"
"LANDSAT_5",1994-11-24,"","","",2,"2627; 2628"
"LANDSAT_8",2017-04-29,"","","",2,"2627; 2628"
"LANDSAT_7",2002-08-02,"","","",2,"2627; 2628"
"LANDSAT_7",2021-05-18,"","","",2,"2627; 2628"
"LANDSAT_5",2010-06-13,"","","",1,"2627"
"LANDSAT_7",2014-05-31,"","","",2,"2627; 2628"
"LANDSAT_7",2015-08-22,"","","",2,"2627; 2628"
"LANDSAT_5",2002-05-06,"","","",1,"2628"
"LANDSAT_7",2005-06-07,"","","",2,"2627; 2628"
"LANDSAT_5",2003-04-07,"","","",2,"2627; 2628"
"LANDSAT_7",2005-05-06,"","","",2,"2627; 2628"
"LANDSAT_7",2007-07-31,"","","",2,"2627; 2628"
"LANDSAT_8",2016-08-16,"","","",2,"2627; 2628"
"LANDSAT_7",2020-04-29,"","","",1,"2627"
"LANDSAT_5",2004-11-19,"","","",1,"2627"
"LANDSAT_5",1997-04-22,"","","",2,"2627; 2628"
"LANDSAT_7",2014-09-20,"","","",2,"2627; 2628"
"LANDSAT_5",2008-09-27,"","","",1,"2627"
"LANDSAT_5",2001-04-17,"","","",2,"2627; 2628"
"LANDSAT_5",2006-08-05,"","","",2,"2627; 2628"
"LANDSAT_5",2001-10-26,"","","",1,"2627"
"LANDSAT_7",2017-06-08,"","","",2,"2627; 2628"
"LANDSAT_8",2019-05-21,"","","",2,"2627; 2628"
"LANDSAT_5",2000-04-30,"","","",2,"2627; 2628"
"LANDSAT_8",2014-08-27,"","","",2,"2627; 2628"
"LANDSAT_5",2010-10-03,"","","",2,"2627; 2628"
"LANDSAT_7",2019-04-27,"","","",1,"2627"
"LANDSAT_5",2009-05-25,"","","",2,"2627; 2628"
"LANDSAT_5",2000-05-16,"","","",2,"2627; 2628"
"LANDSAT_7",2022-05-23,"","","",2,"2627; 2628"
"LANDSAT_7",2010-04-02,"","","",2,"2627; 2628"
"LANDSAT_7",2012-04-23,"","","",2,"2627; 2628"
"LANDSAT_8",2015-10-01,"","","",2,"2627; 2628"
"LANDSAT_7",2013-07-31,"","","",2,"2627; 2628"
"LANDSAT_8",2016-04-10,"","","",2,"2627; 2628"
"LANDSAT_7",2004-04-17,"","","",2,"2627; 2628"
"LANDSAT_7",2013-04-26,"","","",2,"2627; 2628"
"LANDSAT_5",2001-05-19,"","","",2,"2627; 2628"
"LANDSAT_5",1996-08-09,"","","",1,"2627"
"LANDSAT_7",2019-06-30,"","","",1,"2627"
"LANDSAT_5",2005-06-15,"","","",2,"2627; 2628"
"LANDSAT_5",1999-07-01,"","","",2,"2627; 2628"
"LANDSAT_5",2001-06-20,"","","",2,"2627; 2628"
"LANDSAT_5",1996-09-10,"","","",2,"2627; 2628"
"LANDSAT_5",2006-11-25,"","","",2,"2627; 2628"
"LANDSAT_8",2019-10-28,"","","",1,"2628"
"LANDSAT_8",2013-10-27,"","","",2,"2627; 2628"
"LANDSAT_7",2006-07-28,"","","",2,"2627; 2628"
"LANDSAT_7",2019-09-18,"","","",1,"2627"
"LANDSAT_9",2023-04-06,"","","",2,"2627; 2628"
"LANDSAT_5",1997-06-25,"","","",2,"2627; 2628"
"LANDSAT_7",2008-06-15,"","","",2,"2627; 2628"
"LANDSAT_8",2015-10-17,"","","",2,"2627; 2628"
"LANDSAT_7",2008-09-19,"","","",2,"2627; 2628"
"LANDSAT_8",2019-07-24,"","","",2,"2627; 2628"
"LANDSAT_8",2021-05-26,"","","",2,"2627; 2628"
"LANDSAT_5",1999-06-15,"","","",2,"2627; 2628"
"LANDSAT_5",1999-08-02,"","","",2,"2627; 2628"
"LANDSAT_5",2001-09-24,"","","",2,"2627; 2628"
"LANDSAT_5",1999-10-05,"","","",2,"2627; 2628"
"LANDSAT_9",2021-11-06,"","","",2,"2627; 2628"
"LANDSAT_5",1998-07-14,"","","",2,"2627; 2628"
"LANDSAT_7",2018-04-08,"","","",2,"2627; 2628"
"LANDSAT_5",1987-09-02,"","","",2,"2627; 2628"
"LANDSAT_5",1992-10-01,"","","",2,"2627; 2628"
"LANDSAT_5",1990-06-22,"","","",2,"2627; 2628"
"LANDSAT_7",2001-06-12,"","","",2,"2627; 2628"
"LANDSAT_8",2016-09-01,"","","",2,"2627; 2628"
"LANDSAT_8",2016-06-29,"","","",2,"2627; 2628"
"LANDSAT_8",2021-07-13,"","","",2,"2627; 2628"
"LANDSAT_5",1991-08-28,"","","",2,"2627; 2628"
"LANDSAT_5",1984-07-23,"","","",1,"2627"
"LANDSAT_7",2003-08-05,"","","",2,"2627; 2628"
"LANDSAT_7",2011-04-21,"","","",2,"2627; 2628"
"LANDSAT_5",1984-11-12,"","","",2,"2627; 2628"
"LANDSAT_7",2020-09-04,"","","",2,"2627; 2628"
"LANDSAT_7",2009-05-01,"","","",2,"2627; 2628"
"LANDSAT_5",2002-09-27,"","","",2,"2627; 2628"
"LANDSAT_7",2011-10-30,"","","",2,"2627; 2628"
"LANDSAT_7",2002-11-06,"","","",2,"2627; 2628"
"LANDSAT_7",2006-08-13,"","","",1,"2628"
"LANDSAT_5",1987-08-01,"","","",1,"2628"
